policy_id,reference_policy_id,metric,paired_mean_difference,paired_median_difference,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share
observed_financial__checkpoint_17288,always_0pct,sell_through_rate,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,8.326672684688674e-17,0.25,0.55,0.2
observed_financial__checkpoint_17288,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_17288,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,episode_return,-0.0064547764595104164,0.0,-0.012025848453093397,-0.0017456688283179784,0.05,0.65,0.3
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,normalized_accounting_profit,-0.006454776459510428,0.0,-0.011937371528283653,-0.001843413668710447,0.05,0.65,0.3
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,raw_accounting_profit,-0.02769409375559449,0.0,-0.05813027912354374,-0.001821874415044422,0.05,0.65,0.3
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,revenue,-0.02769409375559444,0.0,-0.055094788740284076,-0.002327918872887561,0.05,0.65,0.3
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,sell_through_rate,-5.551115123125783e-18,0.0,-1.6653345369377347e-17,0.0,0.0,0.95,0.05
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_17288,observed_financial__checkpoint_22288,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_22288,always_0pct,episode_return,-0.03272770539197074,-0.02865748556397843,-0.038794807840405676,-0.025860147053608406,0.05,0.0,0.95
observed_financial__checkpoint_22288,always_0pct,normalized_accounting_profit,-0.03272770539197073,-0.028657485563978458,-0.03894855741687562,-0.026890104681154717,0.05,0.0,0.95
observed_financial__checkpoint_22288,always_0pct,raw_accounting_profit,-0.2827261813828742,-0.18056272010604626,-0.37947879117087313,-0.19438295934398994,0.0,0.0,1.0
observed_financial__checkpoint_22288,always_0pct,revenue,-0.4934070454814045,-0.3672695361178345,-0.6644321348297056,-0.3622084870663778,0.0,0.0,1.0
observed_financial__checkpoint_22288,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_22288,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_22288,always_0pct,sell_through_rate,3.3306690738754695e-17,0.0,-1.6653345369377347e-17,8.881784197001253e-17,0.25,0.6,0.15
observed_financial__checkpoint_22288,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_22288,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_27288,always_0pct,episode_return,-0.0028730420453474625,-5.551115123125783e-17,-0.00526867216250044,-0.0008994318333736143,0.3,0.15,0.55
observed_financial__checkpoint_27288,always_0pct,normalized_accounting_profit,-0.002873042045347482,-5.551115123125783e-17,-0.005321162305096455,-0.0008365340366933585,0.35,0.05,0.6
observed_financial__checkpoint_27288,always_0pct,raw_accounting_profit,-0.1914255069744618,-0.14407797321189322,-0.25950850008215376,-0.14018547355596367,0.0,0.0,1.0
observed_financial__checkpoint_27288,always_0pct,revenue,-0.402106371072992,-0.31167135877010954,-0.5639514725850425,-0.30072980100891616,0.0,0.0,1.0
observed_financial__checkpoint_27288,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_27288,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_27288,always_0pct,sell_through_rate,2.2204460492503132e-17,0.0,-2.7755575615628914e-17,7.216449660063518e-17,0.2,0.65,0.15
observed_financial__checkpoint_27288,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_27288,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,episode_return,0.02985466334662327,0.028657485563978485,0.02462969913257877,0.03448157966181355,0.95,0.05,0.0
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,normalized_accounting_profit,0.029854663346623244,0.028657485563978458,0.024953260741768277,0.03476984522068357,0.95,0.05,0.0
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,raw_accounting_profit,0.09130067440841241,0.035287506445978944,0.04547788272027437,0.156756299757612,0.95,0.05,0.0
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,revenue,0.09130067440841239,0.035287506445979,0.042538469319330016,0.15751691805049675,0.95,0.05,0.0
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,sell_through_rate,-1.1102230246251566e-17,0.0,-3.3306690738754695e-17,0.0,0.0,0.95,0.05
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_27288,observed_financial__checkpoint_22288,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_32288,always_0pct,episode_return,-0.0009055983248040939,0.0,-0.002667507099830127,4.3090531143263826e-17,0.35,0.2,0.45
observed_financial__checkpoint_32288,always_0pct,normalized_accounting_profit,-0.0009055983248041106,-5.551115123125783e-17,-0.002618219225247952,3.3306690738754695e-17,0.4,0.05,0.55
observed_financial__checkpoint_32288,always_0pct,raw_accounting_profit,-0.18282828449047775,-0.14407797321189322,-0.24962852866384844,-0.13516283469321502,0.0,0.0,1.0
observed_financial__checkpoint_32288,always_0pct,revenue,-0.39350914858900793,-0.31167135877010954,-0.546086561193234,-0.28848684897327503,0.0,0.0,1.0
observed_financial__checkpoint_32288,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_32288,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_32288,always_0pct,sell_through_rate,2.2204460492503132e-17,0.0,-2.2204460492503132e-17,7.216449660063518e-17,0.2,0.65,0.15
observed_financial__checkpoint_32288,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_32288,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,episode_return,0.031822107067166636,0.028657485563978485,0.026755617081306964,0.03762046231868128,0.95,0.05,0.0
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,normalized_accounting_profit,0.031822107067166615,0.028657485563978458,0.026022542852294335,0.03681462370047254,0.95,0.05,0.0
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,raw_accounting_profit,0.09989789689239645,0.03567541320344114,0.05092757027756076,0.17035399835604148,0.95,0.05,0.0
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,revenue,0.09989789689239648,0.03567541320344114,0.0487763343864242,0.16790593630084036,0.95,0.05,0.0
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,sell_through_rate,-1.1102230246251566e-17,0.0,-3.3306690738754695e-17,0.0,0.0,0.95,0.05
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_32288,observed_financial__checkpoint_22288,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__final_model,always_0pct,episode_return,2.4980018054066023e-17,0.0,-2.3661628212323647e-17,7.362166432045564e-17,0.4,0.25,0.35
observed_financial__final_model,always_0pct,normalized_accounting_profit,8.326672684688674e-18,-2.7755575615628914e-17,-3.8857805861880476e-17,5.419276138951539e-17,0.45,0.05,0.5
observed_financial__final_model,always_0pct,raw_accounting_profit,-0.1723752524442519,-0.14025211144654937,-0.2500010882920999,-0.12488933450752464,0.05,0.0,0.95
observed_financial__final_model,always_0pct,revenue,-0.38305611654278204,-0.31167135877010954,-0.5443200174583549,-0.274402237685909,0.0,0.05,0.95
observed_financial__final_model,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__final_model,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__final_model,always_0pct,sell_through_rate,2.2204460492503132e-17,0.0,-2.7755575615628914e-17,7.216449660063518e-17,0.2,0.65,0.15
observed_financial__final_model,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
