episode_id,scenario_id,step_index,action,mean_q_action_0,mean_q_action_1,mean_q_action_2,mean_q_action_3,mean_q_action_4,mean_q_action_5
core_003__recovered_calibration__episode_05,core_003,1,1,0.46254544456799823,0.48789677023887634,0.4517871141433716,0.4368106524149577,0.4204595983028412,0.4054395755132039
core_003__recovered_calibration__episode_05,core_003,2,0,0.27250592907269794,0.2632094422976176,0.25192495187123615,0.2105839103460312,0.20322725176811218,0.18818216025829315
core_003__recovered_calibration__episode_06,core_003,0,0,0.1581134796142578,0.15431589633226395,0.1322421208024025,0.0913722813129425,0.12443815171718597,0.11763598521550496
core_003__recovered_calibration__episode_06,core_003,1,1,0.46260445316632587,0.4661778410275777,0.450497031211853,0.4182262718677521,0.40887032945950824,0.4182111620903015
core_003__recovered_calibration__episode_06,core_003,2,0,0.18234736224015555,0.17502287526925406,0.1646692454814911,0.15038336316744486,0.17426228523254395,0.18037324647108713
core_003__recovered_calibration__episode_07,core_003,0,0,0.08866109699010849,0.08291879544655482,0.06856080641349156,0.04726974790294965,0.04356488585472107,0.07256628821293513
core_003__recovered_calibration__episode_07,core_003,1,0,0.38439024488131207,0.37472108999888104,0.349429726600647,0.3514186044534047,0.37047311663627625,0.37168150146802265
core_003__recovered_calibration__episode_07,core_003,2,5,0.181908388932546,0.1764511118332545,0.17010971903800964,0.16046811640262604,0.1603134125471115,0.18329980472723642
core_005__recovered_calibration__episode_01,core_005,0,1,0.3915650447209676,0.4104933838049571,0.39340850710868835,0.32697542508443195,0.27541162073612213,0.17826629678408304
core_005__recovered_calibration__episode_01,core_005,1,0,0.6192805568377177,0.6017637848854065,0.6007031202316284,0.5342201491196951,0.4700461228688558,0.4051460524400075
core_005__recovered_calibration__episode_01,core_005,2,0,0.2733516991138458,0.24495021005471548,0.24293822546799979,0.22076915701230368,0.19550853967666626,0.2042989879846573
core_005__recovered_calibration__episode_02,core_005,0,1,0.3947956363360087,0.40812356273333233,0.3749745786190033,0.33143988251686096,0.2691376308600108,0.16577189415693283
core_005__recovered_calibration__episode_02,core_005,1,0,0.6087619860967001,0.5874422788619995,0.5844627022743225,0.5198979179064432,0.45905394355456036,0.401896466811498
core_005__recovered_calibration__episode_02,core_005,2,0,0.27139706412951153,0.23965710898240408,0.238451619942983,0.21591209868590036,0.1916851351658503,0.20505229632059732
core_005__recovered_calibration__episode_03,core_005,0,0,0.4113282064596812,0.4092944860458374,0.37682071328163147,0.3253483275572459,0.25991182525952655,0.1869068443775177
core_005__recovered_calibration__episode_03,core_005,1,0,0.6202409863471985,0.5927773118019104,0.591582735379537,0.5223905344804128,0.46792768438657123,0.4091319441795349
core_005__recovered_calibration__episode_03,core_005,2,0,0.29271142681439716,0.2611219386259715,0.25921088457107544,0.23182410498460135,0.20183069010575613,0.21300581097602844
core_006__recovered_calibration__episode_00,core_006,0,0,0.530293881893158,0.5288597544034322,0.4507431487242381,0.39208589990933734,0.34757638971010846,0.25852851072947186
core_006__recovered_calibration__episode_00,core_006,1,1,0.4906855324904124,0.4929799636205037,0.43401476740837097,0.38712194561958313,0.3616885046164195,0.33804187178611755
core_006__recovered_calibration__episode_00,core_006,2,1,0.0806582123041153,0.08768464128176372,0.0627810185154279,0.05646159375707308,0.04349437107642492,0.04625052213668823
core_006__recovered_calibration__episode_01,core_006,0,5,-0.11730497827132542,-0.0934851070245107,-0.10996776570876439,-0.0920013040304184,-0.0524526908993721,-0.010770333309968313
core_006__recovered_calibration__episode_01,core_006,1,5,0.29728492101033527,0.3080711265405019,0.289855698744456,0.2919252614180247,0.3254918158054352,0.3516742487748464
core_006__recovered_calibration__episode_01,core_006,2,5,0.11309845248858134,0.1169547289609909,0.10980159292618434,0.11395116647084554,0.1285512720545133,0.16458540658156076
core_006__recovered_calibration__episode_02,core_006,0,5,-0.09462004030744235,-0.07693886508544286,-0.10943945000569026,-0.08196402341127396,-0.047076004246870674,-0.027766248832146328
core_006__recovered_calibration__episode_02,core_006,1,5,0.2760243167479833,0.28056591749191284,0.2724849085013072,0.2759353419144948,0.3060494263966878,0.33827220400174457
core_006__recovered_calibration__episode_02,core_006,2,5,0.13108433037996292,0.13392461836338043,0.12706217914819717,0.12628524005413055,0.13814799984296164,0.1660469820102056
core_006__recovered_calibration__episode_03,core_006,0,5,-0.08756331106026967,-0.07366146768132846,-0.09564009060462315,-0.08321401973565419,-0.05123500029246012,0.015393750121196112
core_006__recovered_calibration__episode_03,core_006,1,5,0.29130534331003827,0.29526545604070026,0.2884279986222585,0.28624702493349713,0.31501250465710956,0.344047615925471
core_006__recovered_calibration__episode_03,core_006,2,5,0.1595606654882431,0.1600165069103241,0.15326603750387827,0.14733099937438965,0.15159116685390472,0.17031352718671164
core_006__recovered_calibration__episode_05,core_006,0,5,-0.02187062551577886,-8.883265157540639e-05,-0.035424637918670975,-0.01895189161101977,0.0018951129168272018,0.033567926536003746
core_006__recovered_calibration__episode_05,core_006,1,1,0.46254544456799823,0.48789677023887634,0.4517871141433716,0.4368106524149577,0.4204595983028412,0.4054395755132039
core_006__recovered_calibration__episode_05,core_006,2,0,0.27250592907269794,0.2632094422976176,0.25192495187123615,0.2105839103460312,0.20322725176811218,0.18818216025829315
core_006__recovered_calibration__episode_06,core_006,0,0,0.1581134796142578,0.15431589633226395,0.1322421208024025,0.0913722813129425,0.12443815171718597,0.11763598521550496
core_006__recovered_calibration__episode_06,core_006,1,1,0.46260445316632587,0.4661778410275777,0.450497031211853,0.4182262718677521,0.40887032945950824,0.4182111620903015
core_006__recovered_calibration__episode_06,core_006,2,0,0.18234736224015555,0.17502287526925406,0.1646692454814911,0.15038336316744486,0.17426228523254395,0.18037324647108713
core_006__recovered_calibration__episode_07,core_006,0,0,0.08866109699010849,0.08291879544655482,0.06856080641349156,0.04726974790294965,0.04356488585472107,0.07256628821293513
core_006__recovered_calibration__episode_07,core_006,1,0,0.38439024488131207,0.37472108999888104,0.349429726600647,0.3514186044534047,0.37047311663627625,0.37168150146802265
core_006__recovered_calibration__episode_07,core_006,2,5,0.181908388932546,0.1764511118332545,0.17010971903800964,0.16046811640262604,0.1603134125471115,0.18329980472723642
core_009__recovered_calibration__episode_01,core_009,0,2,0.28523269295692444,0.2994261085987091,0.30159581700960797,0.285060649116834,0.28997722268104553,0.2512330611546834
core_009__recovered_calibration__episode_01,core_009,1,1,0.719707210858663,0.7369793852170309,0.7306986053784689,0.722506602605184,0.6783941984176636,0.6330755949020386
core_009__recovered_calibration__episode_01,core_009,2,1,0.5573210716247559,0.5779350797335306,0.5476553837458292,0.5494415362675985,0.5347102880477905,0.4762754241625468
core_009__recovered_calibration__episode_01,core_009,3,1,0.409235139687856,0.4114560087521871,0.3855597674846649,0.3769606351852417,0.3685801029205322,0.3401236931482951
core_009__recovered_calibration__episode_01,core_009,4,0,0.22580860058466592,0.21896098057428995,0.18993168075879416,0.1765721986691157,0.17728574573993683,0.16720003883043924
core_009__recovered_calibration__episode_01,core_009,5,0,0.21034567058086395,0.17354097465674082,0.1805886129538218,0.15427463253339133,0.1634110858043035,0.1569269448518753
core_009__recovered_calibration__episode_01,core_009,6,5,0.020339495812853176,0.013268931458393732,0.0228360320130984,0.006598106275002162,0.014452772835890451,0.028196292618910473
core_012__recovered_calibration__episode_01,core_012,0,2,0.28523269295692444,0.2994261085987091,0.30159581700960797,0.285060649116834,0.28997722268104553,0.2512330611546834
core_012__recovered_calibration__episode_01,core_012,1,1,0.719707210858663,0.7369793852170309,0.7306986053784689,0.722506602605184,0.6783941984176636,0.6330755949020386
core_012__recovered_calibration__episode_01,core_012,2,1,0.5573210716247559,0.5779350797335306,0.5476553837458292,0.5494415362675985,0.5347102880477905,0.4762754241625468
core_012__recovered_calibration__episode_01,core_012,3,1,0.409235139687856,0.4114560087521871,0.3855597674846649,0.3769606351852417,0.3685801029205322,0.3401236931482951
core_012__recovered_calibration__episode_01,core_012,4,0,0.22580860058466592,0.21896098057428995,0.18993168075879416,0.1765721986691157,0.17728574573993683,0.16720003883043924
core_012__recovered_calibration__episode_01,core_012,5,0,0.21034567058086395,0.17354097465674082,0.1805886129538218,0.15427463253339133,0.1634110858043035,0.1569269448518753
core_012__recovered_calibration__episode_01,core_012,6,5,0.020339495812853176,0.013268931458393732,0.0228360320130984,0.006598106275002162,0.014452772835890451,0.028196292618910473
