state_id,action,markdown_rate,predicted_demand,selling_price,expected_sales,immediate_revenue,expected_waste,raw_financial_contribution,sustainability_reward,support_status
13,2,0.1,0.937817841508678,0.9,0.937817841508678,0.8440360573578102,0.0,-0.1618279402256958,-0.08848648260397009,supported
13,3,0.2,0.9629786268560514,0.8,0.9629786268560514,0.7703829014848411,0.0,-0.23548109609866485,-0.12875955712244636,supported
13,4,0.3,1.004891238587621,0.7,1.004891238587621,0.7034238670113346,0.0,-0.30244013057217134,-0.16537232887777623,supported
13,5,0.4,1.3091204216354213,0.6,1.3091204216354213,0.7854722529812528,0.0,-0.2203917446022532,-0.12050879624128914,supported
14,0,0.0,0.7796516615907272,1.0,0.7796516615907272,0.7796516615907272,0.0,-0.07826831213668506,-0.05017667497371303,supported
14,1,0.05,0.8336576641325413,0.95,0.8336576641325413,0.7919747809259142,0.0,-0.06594519280149802,-0.04227650264772594,supported
14,2,0.1,0.8105808540749271,0.9,0.8105808540749271,0.7295227686674344,0.0,-0.12839720505997787,-0.08231357812567436,supported
14,3,0.2,0.8090701220353012,0.8,0.8090701220353012,0.647256097628241,0.0,-0.21066387609917125,-0.13505354275777492,supported
14,4,0.3,0.8553824809986945,0.7,0.8553824809986945,0.5987677366990861,0.0,-0.2591522370283261,-0.16613872474178668,supported
14,5,0.4,0.9584577792545812,0.6,0.9584577792545812,0.5750746675527487,0.0,-0.2828453061746635,-0.18132800629431756,supported
15,0,0.0,1.5211519251042742,1.0,1.5165658273738343,1.5165658273738343,0.0,0.6824546223182254,0.45,supported
15,1,0.05,1.6815470204296683,0.95,1.5165658273738343,1.4407375360051424,0.0,0.6066263309495336,0.3999999999999999,supported
15,2,0.1,1.7174559056915566,0.9,1.5165658273738343,1.3649092446364508,0.0,0.5307980395808419,0.35,supported
15,3,0.2,1.67659182691022,0.8,1.5165658273738343,1.2132526618990676,0.0,0.3791414568434587,0.25000000000000006,supported
15,4,0.3,1.7032826055464056,0.7,1.5165658273738343,1.0615960791616839,0.0,0.22748487410607499,0.1499999999999999,supported
15,5,0.4,2.069846041732315,0.6,1.5165658273738343,0.9099394964243005,0.0,0.07582829136869162,0.04999999999999994,supported
16,0,0.0,0.6251120089988866,1.0,0.6251120089988866,0.6251120089988866,0.0,-0.09828278044070049,-0.07472479762297157,supported
16,1,0.05,0.6504770378795939,0.95,0.6504770378795939,0.6179531859856141,0.0,-0.10544160345397302,-0.08016767987036812,supported
16,2,0.1,0.6616689016775021,0.9,0.6616689016775021,0.5955020115097519,0.0,-0.12789277792983522,-0.09723739911909302,supported
16,3,0.2,0.6807833972531061,0.8,0.6807833972531061,0.544626717802485,0.0,-0.17876807163710218,-0.1359180918023704,supported
16,4,0.3,0.7886700402534235,0.7,0.7886700402534235,0.5520690281773963,0.0,-0.1713257612621908,-0.13025967296115604,supported
16,5,0.4,0.9881787560244353,0.6,0.9881787560244353,0.5929072536146611,0.0,-0.130487535824926,-0.09921020409796978,supported
17,0,0.0,0.9184919277162684,1.0,0.9184919277162684,0.9184919277162684,0.0,-0.19518420265296887,-0.09639365389248376,supported
17,1,0.05,0.9528151613381293,0.95,0.9528151613381293,0.9051744032712228,0.0,-0.2085017270980145,-0.10297064539390585,supported
17,2,0.1,0.978318625711103,0.9,0.978318625711103,0.8804867631399926,0.0,-0.23318936722924466,-0.1151628812710228,supported
17,3,0.2,1.0337180075476966,0.8,1.0337180075476966,0.8269744060381573,0.0,-0.28670172433108,-0.14159048944491026,supported
17,4,0.3,1.0681002435787983,0.7,1.0681002435787983,0.7476701705051587,0.0,-0.3660059598640786,-0.18075567252976993,supported
17,5,0.4,1.431130034144514,0.6,1.431130034144514,0.8586780204867083,0.0,-0.254998109882529,-0.12593334508201381,supported
18,0,0.0,0.3659562981367238,1.0,0.3659562981367238,0.3659562981367238,0.0,-0.8943977310250492,-0.3903020426656935,supported
18,1,0.05,0.4163318470786148,0.95,0.4163318470786148,0.3955152547246841,0.0,-0.8648387744370889,-0.3774029478500959,supported
18,2,0.1,0.4296703523201488,0.9,0.4296703523201488,0.3867033170881339,0.0,-0.8736507120736391,-0.38124834810110786,supported
18,3,0.2,0.6760127488267422,0.8,0.6760127488267422,0.5408101990613938,0.0,-0.7195438301003791,-0.3139983666481476,supported
18,4,0.3,0.7716613597651998,0.7,0.7716613597651998,0.5401629518356398,0.0,-0.7201910773261332,-0.31428081583776263,supported
18,5,0.4,0.9590709745216996,0.6,0.9590709745216996,0.5754425847130198,0.0,-0.6849114444487532,-0.2988853018523279,supported
19,0,0.0,0.799139052451753,1.0,0.799139052451753,0.799139052451753,0.0,-0.2265830604236001,-0.12149556070662983,supported
19,1,0.05,0.8444914717556613,0.95,0.8444914717556613,0.8022668981678782,0.0,-0.22345521470747487,-0.11981838603887658,supported
19,2,0.1,0.8401455298568916,0.9,0.8401455298568916,0.7561309768712025,0.0,-0.26959113600415063,-0.1445568180124644,supported
19,3,0.2,0.8205964483067603,0.8,0.8205964483067603,0.6564771586454082,0.0,-0.36924495422994486,-0.1979919534513816,supported
