state_id,store_id,product_id,activity_flag,possible_stockout_flag,stockout_risk_group,demand_volume_group,markdown_rate,support_status,absolute_uplift_vs_zero_observed,absolute_uplift_vs_zero_recovered,percentage_uplift_vs_zero_observed,percentage_uplift_vs_zero_recovered,predicted_demand_observed,predicted_demand_recovered,absolute_prediction_difference,percentage_prediction_difference,difference_in_implied_uplift
2,513,467,0,0,high,high,0.4,supported,0.7503548885609543,0.3656825146332139,24.438091380972683,10.806423379258723,3.820786522780865,3.749619103080099,-0.07116741970076568,-1.8626379484025235,-0.38467237392774045
3,325,758,0,1,high,high,0.0,supported,0.0,0.0,0.0,0.0,0.9202766580544641,1.3927668146607277,0.4724901566062636,51.342186338306604,0.0
3,325,758,0,1,high,high,0.05,supported,0.04943458373805898,0.01965690083143956,5.37170896440724,1.4113562029569149,0.9697112417925231,1.4124237154921673,0.44271247369964417,45.65405190944107,-0.029777682906619418
3,325,758,0,1,high,high,0.1,supported,0.1139513246611692,0.003307595439626443,12.382290006362995,0.2374837916016892,1.0342279827156333,1.3960744101003542,0.36184642738472084,34.98710472275168,-0.11064372922154275
3,325,758,0,1,high,high,0.2,supported,0.12772382663547965,-0.0051379759516181345,13.878851051758456,-0.36890424854570947,1.0480004846899438,1.3876288387091096,0.3396283540191658,32.40727070079996,-0.1328618025870978
3,325,758,0,1,high,high,0.3,supported,0.1585222477426056,0.049711266599287374,17.22549913172131,3.5692454814409746,1.0787989057970697,1.442478081260015,0.36367917546294537,33.711489092978006,-0.10881098114331822
3,325,758,0,1,high,high,0.4,supported,0.47857862247023597,0.36442850928132664,52.00377715566405,26.16579498055458,1.3988552805247,1.7571953239420544,0.35834004341735426,25.616663024851547,-0.11415011318890933
4,417,756,0,1,high,high,0.0,supported,0.0,0.0,0.0,0.0,6.532178516931096,7.255230292080922,0.723051775149826,11.069075550763197,0.0
4,417,756,0,1,high,high,0.05,supported,-0.07674397393645549,-0.017383558676025146,-1.1748603277993541,-0.23960037071462104,6.455434542994641,7.237846733404897,0.7824121904102563,12.120209494794132,0.059360415260430344
4,417,756,0,1,high,high,0.1,supported,0.4485380403520409,0.1698813667970569,6.86659189104295,2.3415020606924353,6.980716557283137,7.425111658877979,0.44439510159484197,6.366038471096425,-0.278656673554984
4,417,756,0,1,high,high,0.2,supported,1.6346541496799771,2.2262989204261494,25.02463987233403,30.68543424260637,8.166832666611073,9.481529212507072,1.3146965458959983,16.097997835451515,0.5916447707461723
4,417,756,0,1,high,high,0.3,supported,1.8002312382826657,2.3446598906355067,27.559431108879707,32.31682243353049,8.332409755213762,9.599890182716429,1.267480427502667,15.211451005629883,0.544428652352841
4,417,756,0,1,high,high,0.4,supported,1.9790437560605332,2.262645291079613,30.296841259480978,31.186402084979825,8.51122227299163,9.517875583160535,1.0066533101689057,11.827364835286748,0.2836015350190797
5,498,547,0,1,high,low,0.0,supported,0.0,0.0,0.0,0.0,0.21173189549593,0.42910759662916226,0.21737570113323226,102.66554343363481,0.0
5,498,547,0,1,high,low,0.05,supported,0.08452006873914261,0.03385089853284795,39.918439563002586,7.888673796213896,0.2962519642350726,0.4629584951620102,0.1667065309269376,56.27187362533665,-0.05066917020629466
5,498,547,0,1,high,low,0.1,supported,0.09287745133837325,0.04581966029408974,43.86559290976477,10.677895393608573,0.30460934683430324,0.474927256923252,0.17031791008894875,55.91355349368045,-0.04705779104428351
5,498,547,0,1,high,low,0.2,supported,0.1274298422143055,0.12503715181541425,60.184528134427914,29.138880970096693,0.3391617377102355,0.5541447484445765,0.214983010734341,63.386575439123625,-0.0023926903988912562
5,498,547,0,1,high,low,0.3,supported,0.2283109785209693,0.2556176822329687,107.83022462733207,59.56960078100768,0.4400428740168993,0.684725278862131,0.24468240484523168,55.604219337008274,0.02730670371199942
5,498,547,0,1,high,low,0.4,supported,0.4365531521722703,0.5497742926359195,206.1820450573834,128.1203821499898,0.6482850476682003,0.9788818892650817,0.3305968415968814,50.99559873947372,0.11322114046364917
6,212,608,0,0,high,low,0.0,supported,0.0,0.0,0.0,0.0,0.39212347768288064,0.3937036484979268,0.0015801708150461335,0.4029778641114756,0.0
6,212,608,0,0,high,low,0.05,supported,0.0773919031352136,0.06959289647373845,19.73661551522865,17.676467246176642,0.46951538081809424,0.4632965449716652,-0.006218835846429016,-1.3245222841460902,-0.00779900666147515
6,212,608,0,0,high,low,0.1,supported,0.09619199916730614,0.08165377905544463,24.531048162614443,20.739909159331702,0.4883154768501868,0.4753574275533714,-0.012958049296815377,-2.653622486102536,-0.01453822011186151
6,212,608,0,0,high,low,0.2,supported,0.09757715227545777,0.1518658758529095,24.884292277538833,38.57365214478301,0.4897006299583384,0.5455695243508363,0.05586889439249787,11.40878548537929,0.054288723577451736
6,212,608,0,0,high,low,0.3,supported,0.19576924483541996,0.19816277581863223,49.92540767827809,50.33297927887395,0.5878927225183006,0.591866424316559,0.0039737017982584,0.6759229441107184,0.0023935309832122664
6,212,608,0,0,high,low,0.4,supported,0.502720756431347,0.498510095771821,128.204707201416,126.62064415043032,0.8948442341142275,0.8922137442697478,-0.0026304898444797775,-0.2939606407682316,-0.004210660659525967
7,802,591,0,1,high,low,0.0,supported,0.0,0.0,0.0,0.0,0.2947551651807538,0.4750064234395354,0.18025125825878163,61.152875183118674,0.0
