scenario_id,grid_type,shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,lambda_waste,scenarios_audited_source,always_zero_waste_rate,minimum_waste_rate,maximum_waste_rate,maximum_waste_reduction_vs_always_zero,profit_loss_at_maximum_waste_reduction,non_dominated_policy_count,profit_waste_correlation,policy_ranking_changes_between_profit_and_waste,classification,note
sensitivity_016,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_017,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_018,sensitivity,medium_shelf_life,balanced_inventory,uniform,high_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_019,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_020,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_021,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,low_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_022,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_023,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_024,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_025,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,high_margin,zero_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_026,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,high_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
sensitivity_027,sensitivity,medium_shelf_life,balanced_inventory,near_expiry_heavy,high_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.25,sensitivity_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
stress_001,stress,short_shelf_life,high_inventory,near_expiry_heavy,medium_margin,high_disposal_cost,observed_sales_demand,observed_target_response,1.0,stress_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
stress_002,stress,short_shelf_life,high_inventory,near_expiry_heavy,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,1.0,stress_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
stress_003,stress,short_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,high_disposal_cost,observed_sales_demand,observed_target_response,0.5,stress_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
stress_004,stress,short_shelf_life,balanced_inventory,near_expiry_heavy,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.5,stress_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
stress_005,stress,long_shelf_life,high_inventory,fresh_heavy,medium_margin,high_disposal_cost,observed_sales_demand,observed_target_response,0.1,stress_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
stress_006,stress,long_shelf_life,high_inventory,fresh_heavy,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.1,stress_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
stress_007,stress,medium_shelf_life,lean_inventory,uniform,medium_margin,high_disposal_cost,observed_sales_demand,observed_target_response,0.0,stress_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
stress_008,stress,medium_shelf_life,lean_inventory,uniform,medium_margin,high_disposal_cost,recovered_demand,recovered_target_response,0.0,stress_grid,,,,,,,,,NOT_AUDITED_UNSUPPORTED_BY_ENV_INTERFACE,Operational environment loads perishability_core_scenario_grid.csv only; scenario_id is unsupported without modifying environment.
