segment_value,rows,mean_abs_prediction_difference,mean_pct_prediction_difference,mean_difference_in_implied_uplift,segment
418,6,0.2674055346390277,31.615984266347535,-0.027286730016413796,store_id
441,6,-0.4488616568593053,-16.932049472578008,-0.14353200965381877,store_id
452,6,-0.038094781613620864,-3.1092851731289914,-0.008050171158627014,store_id
469,6,0.329746038374594,46.99244589146741,-0.034554370791540855,store_id
481,6,0.3717016185596002,25.10633226968793,0.03885272579507585,store_id
483,6,-0.08473927805232667,-19.792644415754307,-0.04140904036579374,store_id
484,6,0.3090772245551689,12.984758577342033,-0.1000781583271549,store_id
485,6,0.14688930725915053,23.043184973704957,-0.06813964916932676,store_id
488,6,0.3184619397095676,34.490693571076925,-0.030845080177767326,store_id
49,12,0.3004907559703714,47.45173222945697,-0.016773695743469794,store_id
490,6,0.2715417449111224,40.93928655046776,-0.02995658459918782,store_id
493,6,0.26758743723236417,14.417649750402882,-0.18681167197164164,store_id
498,6,0.22411039988759543,64.13956067804293,0.006734698754363194,store_id
501,6,0.3587601349028917,26.158732837704633,-0.07356364722430753,store_id
507,12,0.25382201687386025,50.038416676109314,-0.020734936213713973,store_id
510,12,0.31437948949415534,49.18586885416817,-0.009263293798348199,store_id
513,6,0.05568082090071661,2.0227238724785805,-0.25782413332625814,store_id
530,12,0.08558352439503547,17.738196446390464,-0.050090197295664045,store_id
532,6,0.15780067709783388,12.68195903538013,0.07680153382034331,store_id
542,6,0.22519415937575224,41.26986757125898,-0.020652638140478213,store_id
554,6,0.2028574724411671,51.2144729666358,-0.012757110354332782,store_id
563,6,0.3650872228355424,33.265379088869004,-0.017772120529865543,store_id
565,6,0.2883985837778103,34.16335932827514,-0.013244229536908366,store_id
57,12,0.3237772047770508,44.02871150505516,-0.010335396058962887,store_id
586,6,0.1675616677061447,41.84122158908034,-0.05431925508234565,store_id
598,6,0.17731184180425372,33.680621254149756,-0.03269693921806602,store_id
60,6,0.1953008504964252,41.81258069179307,-0.031619994072842876,store_id
602,6,0.13473935270513057,31.021538389859643,-0.10331377717499816,store_id
613,6,0.22182066611441806,32.63723479229587,-0.08893054126661741,store_id
633,6,0.17440896500079786,40.71337411133806,-0.028349268489725975,store_id
658,18,-0.05760469368309254,-2.642475626072903,0.05868835964600316,store_id
666,12,0.17119023246228257,23.181727510850305,0.009557069309076849,store_id
668,6,-0.0645726506553274,-7.46101885725114,-0.02938689493593764,store_id
714,30,0.3555514502541847,40.471803400276514,-0.1155336048252505,store_id
72,12,0.16995286918637156,36.49599724504221,-0.022291626877379494,store_id
722,6,0.1424144694941705,30.5339306477391,0.013606278723896184,store_id
754,12,0.06621865873062142,40.9672727873652,0.036332224887287996,store_id
758,6,0.06329438302551207,10.839683796721305,0.008626469094685979,store_id
78,6,0.21045467342441757,50.350851503765234,0.021232493843866662,store_id
780,6,0.2848213682163599,20.99370122016385,-0.1987970150730544,store_id
802,6,0.19123915546510903,44.45851591148485,0.010987897206327396,store_id
843,12,0.4200451895329817,26.783649229178835,-0.2108745757021727,store_id
860,6,-0.023449106008941113,-4.069668528356999,-0.0005070207343540375,store_id
862,6,0.1861067363977097,37.318088574518896,-0.038214675831326934,store_id
865,6,0.22316824767996649,31.19187524049238,-0.02508029072411085,store_id
876,12,0.2626106705154978,40.8639411739317,-0.0019421470681762105,store_id
877,6,0.02817063490791365,6.332204844808966,0.01826102301770625,store_id
881,6,-0.026582286184080872,-3.631025457536753,-0.00824433973974259,store_id
96,6,0.28762527578905467,41.86512369282428,-0.013923792243418368,store_id
97,6,0.3672478589759811,17.330556753545284,0.040809016141869714,store_id
0,450,0.20024153225278005,22.810312025463023,-0.016772154161818004,activity_flag
1,270,0.1680507120871782,21.89477685970988,-0.05769139262933712,activity_flag
high,162,0.22994962705905655,28.79953720439775,-0.04388130553941007,stockout_risk_group
low,72,0.1432190945944785,19.839976775211156,-0.03282709432886095,stockout_risk_group
medium,486,0.18090281354510188,20.745322651548125,-0.028090170974643423,stockout_risk_group
0.0,120,0.22028684327781703,30.095758331128877,0.0,markdown_rate
0.05,120,0.18991019284242613,21.616882657796136,-0.03037665043539089,markdown_rate
0.1,120,0.16681741521483556,21.1735064257911,-0.05346942806298145,markdown_rate
0.2,120,0.20187666100928536,25.440350028782085,-0.01841018226853166,markdown_rate
0.3,120,0.18895895050617303,21.307493086828472,-0.03132789277164398,markdown_rate
0.4,120,0.16116978529353895,15.167927499506884,-0.05911705798427805,markdown_rate
high,276,0.28338916667411373,19.58373634883535,-0.06330328041402304,demand_volume_group
low,180,0.06369983294000124,16.23528132726781,0.002580780229963071,demand_volume_group
medium,264,0.17348864335618758,29.730182925732066,-0.023170380416144384,demand_volume_group
