episode_id,scenario_id,calibration_mode,episode_index,policy_id,normalized_profit,total_revenue,total_procurement_cost,total_disposal_cost,terminal_value,units_sold,units_expired,waste_rate,sell_through,average_markdown,number_of_markdown_changes,action_sequence,action_entropy,episode_length,runtime_seconds,candidate_sequences_evaluated,planning_horizon,reset_seed,deterministic_demand,initial_inventory,starting_age_profile_signature,episode_horizon,episode_conservation_error,raw_financial_sum_error
core_003__recovered_calibration__episode_02,core_003,recovered_calibration,2,always_0pct,-0.1358956767616695,1.3789242209503272,1.7158399474548245,0.08703923872110403,0.0,1.3789242209503272,1.7407847744220806,0.5579958826301613,0.4420041173698387,,0,0|0|0,-0.0,3,0.04971960000693798,0,,20002,True,,,3.0,0.0,5.551115123125783e-17
core_003__recovered_calibration__episode_02,core_003,recovered_calibration,2,limited_horizon_planning_policy,-0.06568123481319886,1.538694515214961,1.7158399474548245,0.0277609068340403,0.0,2.5644908586916015,0.555218136680806,0.17797113048184424,0.8220288695181557,,0,5|5|5,-0.0,3,21.035596399975475,258,3.0,20002,True,,,3.0,2.220446049250313e-16,0.0
core_003__recovered_calibration__episode_03,core_003,recovered_calibration,3,always_0pct,-0.11493563925180866,1.441199666248285,1.7158399474548245,0.08392546645620613,0.0,1.441199666248285,1.6785093291241227,0.5380339421445797,0.4619660578554204,,0,0|0|0,-0.0,3,0.05223700002534315,0,,20003,True,,,3.0,0.0,5.551115123125783e-17
core_003__recovered_calibration__episode_03,core_003,recovered_calibration,3,limited_horizon_planning_policy,-0.0637690116267885,1.5610151674306614,1.7158399474548245,0.04411597917393664,0.0,2.237389411893675,0.8823195834787327,0.28282111722199527,0.7171788827780048,,1,5|5|0,0.6365141682948128,3,24.26677240000572,258,3.0,20003,True,,,3.0,0.0,0.0
core_003__recovered_calibration__episode_05,core_003,recovered_calibration,5,always_0pct,0.07844600142737151,2.0157658033594403,1.7158399474548245,0.05519715960064836,0.0,2.0157658033594403,1.1039431920129672,0.35386095102155085,0.6461390489784491,,0,0|0|0,-0.0,3,0.060638399998424575,0,,20005,True,,,3.0,2.220446049250313e-16,0.0
core_003__recovered_calibration__episode_05,core_003,recovered_calibration,5,limited_horizon_planning_policy,0.12649431434498115,2.1379277555442666,1.7158399474548245,0.02746235776393964,0.0,2.570461840093615,0.5492471552787928,0.17605717587554273,0.8239428241244573,,1,5|1|1,0.6365141682948128,3,26.95631370000774,258,3.0,20005,True,,,3.0,0.0,0.0
core_003__recovered_calibration__episode_06,core_003,recovered_calibration,6,always_0pct,0.09971259646932643,2.078952077505468,1.7158399474548245,0.05203784589334698,0.0,2.078952077505468,1.0407569178669396,0.33360705098159377,0.6663929490184062,,0,0|0|0,-0.0,3,0.11536470000282861,0,,20006,True,,,3.0,2.220446049250313e-16,0.0
core_003__recovered_calibration__episode_06,core_003,recovered_calibration,6,limited_horizon_planning_policy,0.11032394556658583,2.106659107000013,1.7158399474548245,0.0466405541561347,0.0,2.186897912249714,0.9328110831226939,0.29900579974169733,0.7009942002583027,,1,1|1|0,0.6365141682948128,3,27.978677500010235,258,3.0,20006,True,,,3.0,2.220446049250313e-16,0.0
core_003__recovered_calibration__episode_07,core_003,recovered_calibration,7,always_0pct,0.05266028067931511,1.9391525224357524,1.7158399474548245,0.05902782364683277,0.0,1.9391525224357524,1.1805564729366553,0.3784187803054141,0.6215812196945859,,0,0|0|0,-0.0,3,0.05067340002278797,0,,20007,True,,,3.0,0.0,0.0
core_003__recovered_calibration__episode_07,core_003,recovered_calibration,7,limited_horizon_planning_policy,0.062492071420547614,1.966363551142936,1.7158399474548245,0.05556652633797429,0.0,2.0083784686129222,1.1113305267594857,0.3562289073782099,0.6437710926217901,,1,1|0|0,0.6365141682948128,3,22.74959150000359,258,3.0,20007,True,,,3.0,2.220446049250313e-16,0.0
core_005__recovered_calibration__episode_01,core_005,recovered_calibration,1,always_0pct,0.28684780768792717,1.317479563414441,0.8579199737274122,0.012118746713588154,0.0,1.317479563414441,0.24237493427176304,0.15538304029721214,0.8446169597027879,,0,0|0|0,-0.0,3,0.057960999984061345,0,,20001,True,,,3.0,1.1102230246251565e-16,0.0
core_005__recovered_calibration__episode_01,core_005,recovered_calibration,1,limited_horizon_planning_policy,0.33071836127631854,1.3737924970316886,0.8579199737274122,0.0,0.0,1.5598544976862039,0.0,0.0,1.0,,1,4|0|0,0.6365141682948128,3,27.3528374999878,258,3.0,20001,True,,,3.0,0.0,0.0
core_005__recovered_calibration__episode_02,core_005,recovered_calibration,2,always_0pct,0.3137348640412255,1.3574223213022836,0.8579199737274122,0.010121608819196016,0.0,1.3574223213022836,0.2024321763839203,0.12977631996073752,0.8702236800392624,,0,0|0|0,-0.0,3,0.0696141000080388,0,,20002,True,,,3.0,0.0,0.0
