target,model_type,time_split,n,mae,rmse,median_absolute_error,mean_bias,abs_mean_bias,r2_log_target,segment,segment_value
observed,ridge,test,605,0.6451504699862636,1.2889594604004038,0.3263115966850806,-0.4830739485760571,0.4830739485760571,0.7778570424362233,markdown_bin,"(0.001, 0.05]"
observed,ridge,test,534,0.45700521381509385,0.7389691746500009,0.2676735491185443,-0.2763395441398753,0.2763395441398753,0.680863392984391,markdown_bin,"(0.05, 0.1]"
observed,ridge,test,956,0.39078532132587235,0.6362867810272349,0.23425893848429452,-0.21564165787697495,0.21564165787697495,0.6146749309638223,markdown_bin,"(0.1, 0.2]"
observed,ridge,test,521,0.4205669090339981,0.7560377642660425,0.2558573337812793,-0.16590728961766746,0.16590728961766746,0.6387031554481827,markdown_bin,"(0.2, 0.3]"
observed,ridge,test,572,0.9468539255202638,2.3219342371998786,0.3708561219989018,-0.5906211409111426,0.5906211409111426,0.8570403397388493,markdown_bin,"(0.3, 1.0]"
observed,ridge,test,2512,0.32501794720453275,0.505640838564646,0.22039045222954384,-0.09339431075154318,0.09339431075154318,0.5657543790123236,markdown_bin,0%
observed,ridge,test,2205,0.8396658194503719,1.5672182492176654,0.5275339709422704,-0.7068087867076459,0.7068087867076459,0.6206349634835671,demand_volume_group,high
observed,ridge,test,1442,0.2107708072275878,0.3243851265274377,0.1617547964410469,0.1616926161767984,0.1616926161767984,-0.742966907784437,demand_volume_group,low
observed,ridge,test,2053,0.20931019882042004,0.26125843370543067,0.17795626963917632,0.009982777727211423,0.009982777727211423,-0.144763053808862,demand_volume_group,medium
recovered,hist_gradient_boosting,validation,3638,0.23775946606236129,0.6381549427060291,0.08526996271030923,-0.05789569089693321,0.05789569089693321,0.9121365180638928,promotion_status,non_promotion
recovered,hist_gradient_boosting,validation,2062,0.20486226521107131,0.3586407067561857,0.10743275053783741,0.02209790070784255,0.02209790070784255,0.8361103350001393,promotion_status,promotion
recovered,hist_gradient_boosting,validation,2251,0.3080462606833337,0.6535285393293435,0.16941578766219867,-0.03914637916490189,0.03914637916490189,0.8228788499136247,possible_stockout_status,not_possible_stockout
recovered,hist_gradient_boosting,validation,3449,0.17221884476715438,0.47718771046027586,0.06673497567191378,-0.022307959618230656,0.022307959618230656,0.945368288795909,possible_stockout_status,possible_stockout
recovered,hist_gradient_boosting,validation,459,0.30689820879944585,0.5605204301512783,0.14767280051054188,-0.04411772907327797,0.04411772907327797,0.8870946954903662,markdown_bin,"(0.001, 0.05]"
recovered,hist_gradient_boosting,validation,567,0.18603299276568996,0.3457699723176134,0.09631773406484423,0.00455139417668105,0.00455139417668105,0.8900576015864909,markdown_bin,"(0.05, 0.1]"
recovered,hist_gradient_boosting,validation,933,0.176574920817363,0.3357964695887459,0.08824005503635335,-0.006979937888867657,0.006979937888867657,0.8754149821996086,markdown_bin,"(0.1, 0.2]"
recovered,hist_gradient_boosting,validation,548,0.20987908486482412,0.34683024020409164,0.11279706007539253,0.01745492206189811,0.01745492206189811,0.8796762840212448,markdown_bin,"(0.2, 0.3]"
recovered,hist_gradient_boosting,validation,613,0.5627578289622275,1.2856639924590092,0.19602178414626792,-0.14487357984836247,0.14487357984836247,0.9055137494485064,markdown_bin,"(0.3, 1.0]"
recovered,hist_gradient_boosting,validation,2580,0.16136405227931738,0.36852750764578346,0.07068356628002659,-0.023889444135494466,0.023889444135494466,0.8643209047505067,markdown_bin,0%
recovered,hist_gradient_boosting,validation,2006,0.42979246933614584,0.8850400908302287,0.19853671561248576,-0.1678827567983789,0.1678827567983789,0.8501058881412865,demand_volume_group,high
recovered,hist_gradient_boosting,validation,1714,0.11096511148276722,0.2407084212568783,0.04792132429481821,0.08132213654471962,0.08132213654471962,0.12645232287570418,demand_volume_group,low
recovered,hist_gradient_boosting,validation,1980,0.11870557264157976,0.19612994655420773,0.07377778011530528,0.016327280745670195,0.016327280745670195,-0.8820800911248723,demand_volume_group,medium
recovered,hist_gradient_boosting,test,3615,0.3359272055056224,1.2818672328926966,0.09673500954580061,-0.17704360349154608,0.17704360349154608,0.8957661035916026,promotion_status,non_promotion
recovered,hist_gradient_boosting,test,2085,0.27831146933927925,0.5796628189972998,0.11372998916170984,0.008020820978739742,0.008020820978739742,0.81443684338994,promotion_status,promotion
recovered,hist_gradient_boosting,test,2321,0.39274478516491035,1.157575426688796,0.18231049340364835,-0.13998492688230585,0.13998492688230585,0.8025945936275765,possible_stockout_status,not_possible_stockout
recovered,hist_gradient_boosting,test,3379,0.2613482140004336,1.0221853724171406,0.07187663003230416,-0.0883054748705045,0.0883054748705045,0.9240252712082425,possible_stockout_status,possible_stockout
recovered,hist_gradient_boosting,test,605,0.6275378870581011,2.149531655711456,0.15073942923032946,-0.4110325152257325,0.4110325152257325,0.8574821144367083,markdown_bin,"(0.001, 0.05]"
recovered,hist_gradient_boosting,test,534,0.23850228758511183,0.445832446424992,0.10129706980848552,-0.07106841381546201,0.07106841381546201,0.8839709670789203,markdown_bin,"(0.05, 0.1]"
recovered,hist_gradient_boosting,test,956,0.20591027720692673,0.3773520092987274,0.09366591432605037,-0.046265078426599014,0.046265078426599014,0.861177844694936,markdown_bin,"(0.1, 0.2]"
recovered,hist_gradient_boosting,test,521,0.22436670534245368,0.4356627037717806,0.10675765452510677,-0.04046712967039474,0.04046712967039474,0.8828422728983507,markdown_bin,"(0.2, 0.3]"
recovered,hist_gradient_boosting,test,572,0.9353838173575373,2.3789362643228644,0.24392278509594995,-0.2958723107394763,0.2958723107394763,0.8702004317338377,markdown_bin,"(0.3, 1.0]"
recovered,hist_gradient_boosting,test,2512,0.17470175008474106,0.3260179195655271,0.08010667684905992,-0.040649784599982856,0.040649784599982856,0.8266545431790607,markdown_bin,0%
recovered,hist_gradient_boosting,test,2205,0.617657432877229,1.7086205818878921,0.23689994613225496,-0.36317965159964305,0.36317965159964305,0.8172152312022094,demand_volume_group,high
recovered,hist_gradient_boosting,test,1442,0.13016900128115888,0.281972914644042,0.05192870413838446,0.09464315108427193,0.09464315108427193,-0.06146244679523649,demand_volume_group,low
recovered,hist_gradient_boosting,test,2053,0.11934628452679064,0.20796781719401358,0.07521377338613422,0.019993420863334763,0.019993420863334763,-1.0079029317166954,demand_volume_group,medium
recovered,ridge,validation,3638,0.3833229665747924,0.8715882251190786,0.19534543117284653,-0.10727160770034493,0.10727160770034493,0.8030456041043271,promotion_status,non_promotion
recovered,ridge,validation,2062,0.27659602358945684,0.41755411623677724,0.18843247998208912,-0.045486875540307614,0.045486875540307614,0.7670881555269602,promotion_status,promotion
recovered,ridge,validation,2251,0.3773310180498838,0.8118124661830682,0.21702909147778693,-0.07550169095920503,0.07550169095920503,0.7363128930674832,possible_stockout_status,not_possible_stockout
recovered,ridge,validation,3449,0.3234264515541509,0.6894978720780925,0.18224363700193846,-0.09106806025769748,0.09106806025769748,0.8294349714880562,possible_stockout_status,possible_stockout
recovered,ridge,validation,459,0.520268637474984,1.0293188986805797,0.21316848580119313,-0.20306464146984768,0.20306464146984768,0.7491209097722962,markdown_bin,"(0.001, 0.05]"
recovered,ridge,validation,567,0.27394009760062576,0.5291648449649411,0.14892166674032226,-0.012950351563937517,0.012950351563937517,0.8008551963763342,markdown_bin,"(0.05, 0.1]"
recovered,ridge,validation,933,0.3015388869902145,0.5569727448976045,0.1808660305144434,-0.09929921122545769,0.09929921122545769,0.7486987544453408,markdown_bin,"(0.1, 0.2]"
recovered,ridge,validation,548,0.35363880990368174,0.5863545698182008,0.226967014394576,-0.1212244694692402,0.1212244694692402,0.7011585052421774,markdown_bin,"(0.2, 0.3]"
recovered,ridge,validation,613,0.5958916734951513,1.3194374548700771,0.2639629489536701,-0.293059675798571,0.293059675798571,0.8808656492090977,markdown_bin,"(0.3, 1.0]"
recovered,ridge,validation,2580,0.2830740960691344,0.6013794992128785,0.18766282704058182,-0.017354950309897994,0.017354950309897994,0.7114527339793183,markdown_bin,0%
recovered,ridge,validation,2006,0.6362063446656638,1.141949238658712,0.35882970373724976,-0.43789323868622254,0.43789323868622254,0.6905954946675017,demand_volume_group,high
recovered,ridge,validation,1714,0.22741766970947166,0.5010410782746084,0.19246293801495667,0.19192910624826398,0.19192910624826398,-0.8641203440420464,demand_volume_group,low
recovered,ridge,validation,1980,0.15093239381777718,0.19716554592360233,0.1166279187868095,0.03302995076619642,0.03302995076619642,-1.4027720503710581,demand_volume_group,medium
recovered,ridge,test,3615,0.4267399848847686,1.1065748798705966,0.19884927786234008,-0.25129430426616783,0.25129430426616783,0.8126419874955284,promotion_status,non_promotion
recovered,ridge,test,2085,0.3499856108529161,0.6281702305008701,0.19695809731832703,-0.14117605734019434,0.14117605734019434,0.7532123651714426,promotion_status,promotion
recovered,ridge,test,2321,0.4426197237155756,0.9850413213418806,0.24178575400015334,-0.2119374423174346,0.2119374423174346,0.740269414657313,possible_stockout_status,not_possible_stockout
recovered,ridge,test,3379,0.36847134218494143,0.9418191266723328,0.17971478827603315,-0.2103800490848583,0.2103800490848583,0.8323712061842307,possible_stockout_status,possible_stockout
recovered,ridge,test,605,0.5814168827839286,1.22921702452509,0.25503722191086675,-0.41824789673755813,0.41824789673755813,0.8296863501828982,markdown_bin,"(0.001, 0.05]"
recovered,ridge,test,534,0.38987851344399677,0.6656566333892139,0.21608542859500318,-0.258241401103776,0.258241401103776,0.7452947389376339,markdown_bin,"(0.05, 0.1]"
recovered,ridge,test,956,0.3416604913661167,0.5774053627973971,0.1867099559573972,-0.19749974982116814,0.19749974982116814,0.6972277680928989,markdown_bin,"(0.1, 0.2]"
recovered,ridge,test,521,0.35626378059735914,0.6581177906976997,0.20573135275478627,-0.1342151060720262,0.1342151060720262,0.744439989763876,markdown_bin,"(0.2, 0.3]"
recovered,ridge,test,572,0.8791306885050709,2.306158450408231,0.2767388241346534,-0.5667061157580835,0.5667061157580835,0.8774142582963196,markdown_bin,"(0.3, 1.0]"
recovered,ridge,test,2512,0.2775991602154717,0.4515058731855269,0.1777408023708818,-0.09114186881157514,0.09114186881157514,0.6652346925488875,markdown_bin,0%
recovered,ridge,test,2205,0.7565202004298974,1.5103821385861909,0.4333228793261199,-0.6677448489541103,0.6677448489541103,0.6799600742850158,demand_volume_group,high
recovered,ridge,test,1442,0.21291460073288937,0.3136880885531849,0.18008710938124525,0.17252832169994853,0.17252832169994853,-0.5645820670880175,demand_volume_group,low
recovered,ridge,test,2053,0.14478088055626795,0.19400934495106603,0.11260268605009915,0.010136659803207876,0.010136659803207876,-1.3302180172352185,demand_volume_group,medium
