policy_id,model_family,config_id,seed,checkpoint_timesteps,mean_normalized_profit,raw_accounting_profit,revenue,waste_rate,sell_through,average_markdown,action_entropy,zero_action_share,positive_action_share,dominant_action_share,state_dependence,collapse_flag,accounting_valid,runtime_seconds,paired_episode_count,paired_mean_gain_vs_always_0pct,paired_median_gain,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share,waste_rate_difference,sell_through_difference,worst_decile_paired_gain,maximum_episode_loss,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,action_5_share
STANDARD_DQN__seed_42__20000,DQN,STANDARD_DQN,42.0,20000,0.16073320701711138,,1.8668404428959986,0.13917961984525948,0.8608203801547405,,1.2668185288586566,0.2222222222222222,0.7777777777777778,0.3888888888888889,STATE_DEPENDENT,False,True,1.520927700039465,22,0.00765213846284877,0.0003784365151975333,-0.013547977938791271,0.027975381092506444,0.5454545454545454,0.0,0.45454545454545453,-0.14360031486496652,0.14360031486496652,-0.07247904722544651,-0.0828139639590389,0.2222222222222222,0.3888888888888889,0.0,0.027777777777777776,0.027777777777777776,0.3333333333333333
STANDARD_DQN__seed_42__25000,DQN,STANDARD_DQN,42.0,25000,0.14605906443230973,,1.8263731343920084,0.16911259662374525,0.8308874033762547,,0.9519246434992505,0.5714285714285714,0.42857142857142855,0.5714285714285714,STATE_DEPENDENT,False,True,1.6161583998473361,22,-0.007022004121952876,0.0,-0.04047028378180907,0.019838774867257096,0.36363636363636365,0.2727272727272727,0.36363636363636365,-0.11366733808648069,0.11366733808648072,-0.15167463731105044,-0.21495582702016516,0.5714285714285714,0.05714285714285714,0.0,0.0,0.02857142857142857,0.34285714285714286
STANDARD_DQN__seed_42__30000,DQN,STANDARD_DQN,42.0,30000,0.1431036179658537,,1.8176602522275465,0.17799263245195826,0.8220073675480418,,1.281432306980921,0.4444444444444444,0.5555555555555556,0.4444444444444444,STATE_DEPENDENT,False,True,1.6392571998294443,22,-0.009977450588408921,0.0,-0.03717903649252184,0.01285822100361073,0.2727272727272727,0.2727272727272727,0.45454545454545453,-0.10478730225826773,0.10478730225826775,-0.1262355749185771,-0.1685977507578862,0.4444444444444444,0.05555555555555555,0.16666666666666666,0.0,0.027777777777777776,0.3055555555555556
STANDARD_DQN__seed_42__5000,DQN,STANDARD_DQN,42.0,5000,0.14155023510086442,,1.8113237143571679,0.16528279741023572,0.8347172025897642,,1.6292231314170231,0.22857142857142856,0.7714285714285715,0.2857142857142857,STATE_DEPENDENT,False,True,1.7458284001331776,22,-0.011530833453398186,0.0,-0.05214527373659479,0.02190234377943421,0.45454545454545453,0.09090909090909091,0.45454545454545453,-0.11749713729999027,0.11749713729999027,-0.20143712430895588,-0.251757222236055,0.22857142857142856,0.2857142857142857,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.2571428571428571
STANDARD_DQN__seed_42__final,DQN,STANDARD_DQN,42.0,final,0.0025669714628890022,,1.4813616989565361,0.0818183065164127,0.9181816934835875,,0.1461447460085638,0.0,1.0,0.9666666666666667,STATE_DEPENDENT,False,True,1.5085569000220858,22,-0.15051409709137362,-0.12662386505113626,-0.2195320912551304,-0.08253789113260661,0.2727272727272727,0.0,0.7272727272727273,-0.20096162819381327,0.20096162819381333,-0.3780945712101471,-0.39876064565728614,0.0,0.0,0.0,0.03333333333333333,0.0,0.9666666666666667
STANDARD_DQN__seed_456__10000,DQN,STANDARD_DQN,456.0,10000,0.16208518900165314,,1.8797085426630185,0.19298889376995162,0.8070111062300483,,1.2436871466413018,0.5135135135135135,0.4864864864864865,0.5135135135135135,STATE_DEPENDENT,False,True,3.141480600112118,22,0.009004120447390474,2.7755575615628914e-17,-0.008317597654163598,0.0256284731074754,0.45454545454545453,0.18181818181818182,0.36363636363636365,-0.08979104094027435,0.08979104094027437,-0.054514167880652664,-0.056771251820978974,0.5135135135135135,0.1891891891891892,0.05405405405405406,0.02702702702702703,0.0,0.21621621621621623
STANDARD_DQN__seed_456__15000,DQN,STANDARD_DQN,456.0,15000,0.16722039034506686,,1.8910910546473396,0.16843711037416434,0.8315628896258357,,1.2753358650144713,0.3611111111111111,0.6388888888888888,0.3611111111111111,STATE_DEPENDENT,False,True,3.193514399928972,22,0.014139321790804255,0.00935829168175717,-0.004061638236131298,0.03145372648207892,0.6363636363636364,0.0,0.36363636363636365,-0.11434282433606159,0.11434282433606166,-0.057944888109082084,-0.07290975016590928,0.3611111111111111,0.3333333333333333,0.0,0.08333333333333333,0.0,0.2222222222222222
STANDARD_DQN__seed_456__20000,DQN,STANDARD_DQN,456.0,20000,0.1676259602003465,,1.8938745517873037,0.17380492540957093,0.826195074590429,,1.305573147535891,0.43243243243243246,0.5675675675675675,0.43243243243243246,STATE_DEPENDENT,False,True,2.37357279995922,22,0.01454489164608389,0.0036454153652369925,-0.0023339455811322175,0.03104550052261901,0.6363636363636364,0.0,0.36363636363636365,-0.10897500930065501,0.10897500930065508,-0.04718588921246188,-0.056771251820978974,0.43243243243243246,0.24324324324324326,0.02702702702702703,0.05405405405405406,0.0,0.24324324324324326
STANDARD_DQN__seed_456__25000,DQN,STANDARD_DQN,456.0,25000,0.16804068102255323,,1.8925852006136277,0.1572446663782686,0.8427553336217315,,1.2378997938150436,0.43243243243243246,0.5675675675675675,0.43243243243243246,STATE_DEPENDENT,False,True,1.5695838000974618,22,0.014959612468290594,0.0036454153652369925,-0.001564443628032352,0.031756641679344014,0.6363636363636364,0.0,0.36363636363636365,-0.12553526833195736,0.12553526833195738,-0.036835954485670695,-0.037743041188132376,0.43243243243243246,0.1891891891891892,0.02702702702702703,0.02702702702702703,0.0,0.32432432432432434
STANDARD_DQN__seed_456__30000,DQN,STANDARD_DQN,456.0,30000,0.16285643708174335,,1.8728603074114891,0.14010425277294417,0.8598957472270559,,1.1426170411246659,0.43243243243243246,0.5675675675675675,0.43243243243243246,STATE_DEPENDENT,False,True,1.539081700029783,22,0.00977536852748073,0.0017371158058100966,-0.009788121497295204,0.029075721676483004,0.5454545454545454,0.09090909090909091,0.36363636363636365,-0.14267568193728178,0.14267568193728186,-0.06261251659152108,-0.07991119288956776,0.43243243243243246,0.1891891891891892,0.02702702702702703,0.0,0.0,0.35135135135135137
