state_id,target,selected_model_type,store_id,product_id,activity_flag,possible_stockout_flag,stockout_risk_group,demand_volume_group,markdown_rate,predicted_demand,absolute_uplift_vs_zero,percentage_uplift_vs_zero,support_status
11,observed,hist_gradient_boosting,507,715,0,1,high,medium,0.0,0.4596519903209375,0.0,0.0,supported
11,observed,hist_gradient_boosting,507,715,0,1,high,medium,0.05,0.562504926153508,0.10285293583257049,22.37626247647848,supported
11,observed,hist_gradient_boosting,507,715,0,1,high,medium,0.1,0.5645646281576409,0.10491263783670335,22.824362788781016,supported
11,observed,hist_gradient_boosting,507,715,0,1,high,medium,0.2,0.5718227721445677,0.11217078182363016,24.40341479764081,supported
11,observed,hist_gradient_boosting,507,715,0,1,high,medium,0.3,0.6477464449558885,0.188094454634951,40.921057364207215,supported
11,observed,hist_gradient_boosting,507,715,0,1,high,medium,0.4,0.7880526834148545,0.32840069309391695,71.44550660264117,supported
12,observed,hist_gradient_boosting,291,426,0,1,high,medium,0.0,0.5637619975452672,0.0,0.0,supported
12,observed,hist_gradient_boosting,291,426,0,1,high,medium,0.05,0.6445113069500126,0.08074930940474534,14.323297731373174,supported
12,observed,hist_gradient_boosting,291,426,0,1,high,medium,0.1,0.6385855150866522,0.07482351754138494,13.272181854609123,supported
12,observed,hist_gradient_boosting,291,426,0,1,high,medium,0.2,0.6422468698407169,0.07848487229544965,13.921632291142094,supported
12,observed,hist_gradient_boosting,291,426,0,1,high,medium,0.3,0.7800759360440523,0.2163139384987851,38.36972684229505,supported
12,observed,hist_gradient_boosting,291,426,0,1,high,medium,0.4,1.1347589578766635,0.5709969603313962,101.2833363755683,supported
13,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.0,0.5497636827457015,0.0,0.0,supported
13,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.05,0.5937874933586513,0.0440238106129498,8.007769882703109,supported
13,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.1,0.59588843220325,0.04612474945754852,8.389922962387452,supported
13,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.2,0.5973841803357578,0.047620497590056265,8.661994068473877,supported
13,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.3,0.6581335212058486,0.10836983846014703,19.712076636076105,supported
13,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.4,0.8015961550754451,0.2518324723297436,45.80740420538676,supported
14,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.0,0.5306620652861378,0.0,0.0,supported
14,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.05,0.5988870362517678,0.06822497096562996,12.85657585658444,supported
14,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.1,0.5832567666302826,0.05259470134414479,9.911147750081817,supported
14,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.2,0.5849591118272708,0.05429704654113299,10.231944224589618,supported
14,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.3,0.6489898897895847,0.11832782450344692,22.298150224784475,supported
14,observed,hist_gradient_boosting,714,793,0,1,high,medium,0.4,0.8051304267677157,0.27446836148157794,51.72187337973406,supported
15,observed,hist_gradient_boosting,554,765,0,1,high,medium,0.0,0.28594029772889934,0.0,0.0,supported
15,observed,hist_gradient_boosting,554,765,0,1,high,medium,0.05,0.3488452304233317,0.06290493269443237,21.99932405262888,supported
15,observed,hist_gradient_boosting,554,765,0,1,high,medium,0.1,0.3458593614854219,0.05991906375652256,20.95509595269849,supported
15,observed,hist_gradient_boosting,554,765,0,1,high,medium,0.2,0.3725854259249814,0.08664512819608206,30.301824850945103,supported
15,observed,hist_gradient_boosting,554,765,0,1,high,medium,0.3,0.4974040755568431,0.21146377782794373,73.95382165700654,supported
15,observed,hist_gradient_boosting,554,765,0,1,high,medium,0.4,0.8333255444837842,0.5473852467548848,191.4334044912627,supported
16,observed,hist_gradient_boosting,230,4,0,1,low,high,0.0,1.4547736291496625,0.0,0.0,supported
16,observed,hist_gradient_boosting,230,4,0,1,low,high,0.05,1.5529948381316157,0.09822120898195319,6.75164898606011,supported
16,observed,hist_gradient_boosting,230,4,0,1,low,high,0.1,1.919958483073136,0.46518485392347353,31.976442561402575,supported
16,observed,hist_gradient_boosting,230,4,0,1,low,high,0.2,1.8965135375841595,0.44173990843449706,30.364855368783438,supported
16,observed,hist_gradient_boosting,230,4,0,1,low,high,0.3,1.9272540807209508,0.4724804515712884,32.47793623035773,supported
16,observed,hist_gradient_boosting,230,4,0,1,low,high,0.4,2.201448735001568,0.7466751058519057,51.32586203726752,supported
17,observed,hist_gradient_boosting,230,4,0,1,low,high,0.0,1.3961315428866778,0.0,0.0,supported
17,observed,hist_gradient_boosting,230,4,0,1,low,high,0.05,1.444758564363069,0.048627021476391086,3.482982798014045,supported
17,observed,hist_gradient_boosting,230,4,0,1,low,high,0.1,1.648834911570984,0.2527033686843061,18.100254948886118,supported
17,observed,hist_gradient_boosting,230,4,0,1,low,high,0.2,1.6488258232185329,0.25269428033185504,18.099603982113166,supported
17,observed,hist_gradient_boosting,230,4,0,1,low,high,0.3,1.70961019351363,0.31347865062695224,22.4533749863423,supported
17,observed,hist_gradient_boosting,230,4,0,1,low,high,0.4,1.8719325606392392,0.47580101775256134,34.079956160060874,supported
18,observed,hist_gradient_boosting,658,19,0,0,low,high,0.0,1.3424100068655664,0.0,0.0,supported
18,observed,hist_gradient_boosting,658,19,0,0,low,high,0.05,1.4002873657219435,0.057877358856377015,4.311451684684364,supported
18,observed,hist_gradient_boosting,658,19,0,0,low,high,0.1,1.5037403995809258,0.16133039271535932,12.017967080866331,supported
18,observed,hist_gradient_boosting,658,19,0,0,low,high,0.2,1.450829210057249,0.10841920319168263,8.07645969839228,supported
18,observed,hist_gradient_boosting,658,19,0,0,low,high,0.3,1.5417546071623485,0.19934460029678203,14.849755237018659,supported
18,observed,hist_gradient_boosting,658,19,0,0,low,high,0.4,1.8425305698915055,0.5001205630259391,37.25542572449125,supported
19,observed,hist_gradient_boosting,488,740,0,1,low,high,0.0,0.8142470146544043,0.0,0.0,supported
19,observed,hist_gradient_boosting,488,740,0,1,low,high,0.05,0.8874353808543267,0.07318836619992242,8.988472156816707,supported
19,observed,hist_gradient_boosting,488,740,0,1,low,high,0.1,0.8897451816685094,0.07549816701410506,9.27214538774197,supported
19,observed,hist_gradient_boosting,488,740,0,1,low,high,0.2,0.8723455085312048,0.05809849387680055,7.135241865327524,supported
19,observed,hist_gradient_boosting,488,740,0,1,low,high,0.3,0.937041140538253,0.12279412588384875,15.080697094844986,supported
19,observed,hist_gradient_boosting,488,740,0,1,low,high,0.4,1.1534891520463986,0.33924213739199427,41.66329520237551,supported
20,observed,hist_gradient_boosting,754,92,0,0,low,low,0.0,0.03966124375466501,0.0,0.0,supported
20,observed,hist_gradient_boosting,754,92,0,0,low,low,0.05,0.04492260315422845,0.005261359399563438,13.265744846805493,supported
20,observed,hist_gradient_boosting,754,92,0,0,low,low,0.1,0.042994370765320714,0.0033331270106557037,8.403990130197702,supported
20,observed,hist_gradient_boosting,754,92,0,0,low,low,0.2,0.04737902565981557,0.007717781905150559,19.459253352948068,supported
20,observed,hist_gradient_boosting,754,92,0,0,low,low,0.3,0.04911425956181019,0.00945301580714518,23.834390735750198,supported
20,observed,hist_gradient_boosting,754,92,0,0,low,low,0.4,0.0648289823113573,0.025167738556692285,63.45675569927638,supported
21,observed,hist_gradient_boosting,658,19,0,0,low,low,0.0,0.7817439960244714,0.0,0.0,supported
21,observed,hist_gradient_boosting,658,19,0,0,low,low,0.05,0.8847790525330161,0.10303505650854472,13.180153225675607,supported
21,observed,hist_gradient_boosting,658,19,0,0,low,low,0.1,1.082316380169238,0.3005723841447665,38.44895332401856,supported
21,observed,hist_gradient_boosting,658,19,0,0,low,low,0.2,1.0440685368702085,0.2623245408457371,33.55632306481129,supported
21,observed,hist_gradient_boosting,658,19,0,0,low,low,0.3,1.0301527878424808,0.24840879181800934,31.776232766901003,supported
21,observed,hist_gradient_boosting,658,19,0,0,low,low,0.4,1.0855313863792024,0.303787390354731,38.86021407259026,supported
22,observed,hist_gradient_boosting,754,92,0,0,low,medium,0.0,0.5255789050067383,0.0,0.0,supported
22,observed,hist_gradient_boosting,754,92,0,0,low,medium,0.05,0.5596119525828203,0.03403304757608194,6.475345043699132,supported
22,observed,hist_gradient_boosting,754,92,0,0,low,medium,0.1,0.5561595202507961,0.03058061524405775,5.818463213181224,supported
22,observed,hist_gradient_boosting,754,92,0,0,low,medium,0.2,0.581261070587541,0.055682165580802634,10.594444535419223,supported
22,observed,hist_gradient_boosting,754,92,0,0,low,medium,0.3,0.7014865646870989,0.1759076596803606,33.46931507422379,supported
22,observed,hist_gradient_boosting,754,92,0,0,low,medium,0.4,0.9873989327453923,0.46182002773865394,87.86882870284398,supported
23,observed,hist_gradient_boosting,237,596,0,0,low,medium,0.0,0.8303482135452573,0.0,0.0,supported
23,observed,hist_gradient_boosting,237,596,0,0,low,medium,0.05,0.9392781969596233,0.108929983414366,13.118590687306742,supported
23,observed,hist_gradient_boosting,237,596,0,0,low,medium,0.1,1.0118985172018173,0.18155030365656,21.86435771101527,supported
23,observed,hist_gradient_boosting,237,596,0,0,low,medium,0.2,1.080410913399961,0.25006269985470375,30.115401680342657,supported
23,observed,hist_gradient_boosting,237,596,0,0,low,medium,0.3,1.2176267882756657,0.3872785747304084,46.64050195000511,supported
23,observed,hist_gradient_boosting,237,596,0,0,low,medium,0.4,1.7843946789557164,0.954046465410459,114.89715397074912,supported
24,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.0,1.1530237696065444,0.0,0.0,supported
24,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.05,1.213094384566972,0.06007061496042754,5.209833183311208,supported
24,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.1,1.2251434640792525,0.07211969447270805,6.254831545868145,supported
24,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.2,1.2302047395321702,0.07718096992562584,6.693788277405854,supported
24,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.3,1.267233761483396,0.11420999187685155,9.905259101104601,supported
24,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.4,1.594008901860108,0.4409851322535636,38.24597062765189,supported
25,observed,hist_gradient_boosting,3,351,0,1,medium,high,0.0,0.5781566553895643,0.0,0.0,supported
25,observed,hist_gradient_boosting,3,351,0,1,medium,high,0.05,0.6409574523157884,0.06280079692622409,10.862245784217194,supported
25,observed,hist_gradient_boosting,3,351,0,1,medium,high,0.1,0.6299591455588138,0.05180249016924954,8.959940128051414,supported
25,observed,hist_gradient_boosting,3,351,0,1,medium,high,0.2,0.6693796390752931,0.09122298368572879,15.77824674944932,supported
25,observed,hist_gradient_boosting,3,351,0,1,medium,high,0.3,0.7612828319630709,0.1831261765735066,31.674144864788502,supported
25,observed,hist_gradient_boosting,3,351,0,1,medium,high,0.4,0.8986403384369659,0.3204836830474016,55.431980253078365,supported
26,observed,hist_gradient_boosting,843,6,0,1,medium,high,0.0,1.8647126593081524,0.0,0.0,supported
26,observed,hist_gradient_boosting,843,6,0,1,medium,high,0.05,2.0332765191791187,0.16856385987096623,9.039669411238238,supported
26,observed,hist_gradient_boosting,843,6,0,1,medium,high,0.1,2.298817125554971,0.43410446624681853,23.279965633304613,supported
26,observed,hist_gradient_boosting,843,6,0,1,medium,high,0.2,2.3420251207052916,0.4773124613971391,25.597105216963143,supported
26,observed,hist_gradient_boosting,843,6,0,1,medium,high,0.3,2.3513212144207642,0.4866085551126118,26.09563209020922,supported
26,observed,hist_gradient_boosting,843,6,0,1,medium,high,0.4,2.3937153889813865,0.529002729673234,28.369128457008763,supported
27,observed,hist_gradient_boosting,368,540,0,1,medium,high,0.0,7.0034727656512015,0.0,0.0,supported
27,observed,hist_gradient_boosting,368,540,0,1,medium,high,0.05,7.575143084992179,0.5716703193409778,8.162669270947355,supported
27,observed,hist_gradient_boosting,368,540,0,1,medium,high,0.1,8.28135237576211,1.277879610110908,18.24637080589957,supported
27,observed,hist_gradient_boosting,368,540,0,1,medium,high,0.2,10.889660577985136,3.886187812333935,55.48943991606408,supported
27,observed,hist_gradient_boosting,368,540,0,1,medium,high,0.3,10.924106260153245,3.9206334945020433,55.98127708486196,supported
27,observed,hist_gradient_boosting,368,540,0,1,medium,high,0.4,11.154422672045996,4.1509499063947946,59.26988003370679,supported
28,observed,hist_gradient_boosting,284,190,0,0,medium,high,0.0,1.0479566611736448,0.0,0.0,supported
28,observed,hist_gradient_boosting,284,190,0,0,medium,high,0.05,1.0993388386063097,0.05138217743266482,4.903082287307581,supported
28,observed,hist_gradient_boosting,284,190,0,0,medium,high,0.1,1.1100521628367606,0.062095501663115726,5.925388326037528,supported
28,observed,hist_gradient_boosting,284,190,0,0,medium,high,0.2,1.1167622445333554,0.06880558335971054,6.565689776011596,supported
28,observed,hist_gradient_boosting,284,190,0,0,medium,high,0.3,1.3557273843695827,0.3077707231959379,29.368649925966817,supported
28,observed,hist_gradient_boosting,284,190,0,0,medium,high,0.4,1.7847503870074721,0.7367937258338273,70.30765232301354,supported
29,observed,hist_gradient_boosting,666,729,0,1,medium,high,0.0,0.7664061070295616,0.0,0.0,supported
29,observed,hist_gradient_boosting,666,729,0,1,medium,high,0.05,0.8313248626183865,0.06491875558882487,8.470542574410999,supported
29,observed,hist_gradient_boosting,666,729,0,1,medium,high,0.1,0.8407301644184584,0.0743240573888968,9.697738145245506,supported
29,observed,hist_gradient_boosting,666,729,0,1,medium,high,0.2,0.8337699184116543,0.06736381138209269,8.78957132050806,supported
29,observed,hist_gradient_boosting,666,729,0,1,medium,high,0.3,0.8644916691481161,0.09808556211855457,12.798118545625226,supported
29,observed,hist_gradient_boosting,666,729,0,1,medium,high,0.4,1.1346729286364745,0.36826682160691293,48.05113349556181,supported
30,observed,hist_gradient_boosting,563,295,0,1,medium,high,0.0,0.9507551487625858,0.0,0.0,supported
30,observed,hist_gradient_boosting,563,295,0,1,medium,high,0.05,0.9986773610686628,0.04792221230607696,5.040436790528879,supported
30,observed,hist_gradient_boosting,563,295,0,1,medium,high,0.1,1.0127067752308498,0.06195162646826402,6.516044277950472,supported
30,observed,hist_gradient_boosting,563,295,0,1,medium,high,0.2,1.056365179338579,0.10561003057599327,11.108015635092316,supported
30,observed,hist_gradient_boosting,563,295,0,1,medium,high,0.3,1.1407584877327794,0.1900033389701936,19.98446594977521,supported
30,observed,hist_gradient_boosting,563,295,0,1,medium,high,0.4,1.6459124554545301,0.6951573066919443,73.11633364244162,supported
31,observed,hist_gradient_boosting,49,11,0,1,medium,high,0.0,0.5801648227309517,0.0,0.0,supported
31,observed,hist_gradient_boosting,49,11,0,1,medium,high,0.05,0.6749908385024876,0.09482601577153593,16.344668283259733,supported
31,observed,hist_gradient_boosting,49,11,0,1,medium,high,0.1,0.6896224008906708,0.10945757815971913,18.86663476845778,supported
31,observed,hist_gradient_boosting,49,11,0,1,medium,high,0.2,0.6713338731494622,0.09116905041851053,15.714336141470909,supported
31,observed,hist_gradient_boosting,49,11,0,1,medium,high,0.3,0.714824937645423,0.13466011491447127,23.210665252091502,supported
31,observed,hist_gradient_boosting,49,11,0,1,medium,high,0.4,0.9404208987606206,0.3602560760296689,62.09547044473873,supported
32,observed,hist_gradient_boosting,865,4,0,1,medium,high,0.0,0.565166627997604,0.0,0.0,supported
32,observed,hist_gradient_boosting,865,4,0,1,medium,high,0.05,0.6700955455380377,0.10492891754043376,18.566014400425402,supported
32,observed,hist_gradient_boosting,865,4,0,1,medium,high,0.1,0.6930494480596403,0.12788282006203633,22.627454227990707,supported
32,observed,hist_gradient_boosting,865,4,0,1,medium,high,0.2,0.6883036317600844,0.12313700376248038,21.78773438883983,supported
32,observed,hist_gradient_boosting,865,4,0,1,medium,high,0.3,0.757074131130455,0.191907503132851,33.95591558772373,supported
32,observed,hist_gradient_boosting,865,4,0,1,medium,high,0.4,1.1660308343320338,0.6008642063344298,106.31629267695848,supported
33,observed,hist_gradient_boosting,155,300,0,1,medium,high,0.0,5.918374673802656,0.0,0.0,supported
33,observed,hist_gradient_boosting,155,300,0,1,medium,high,0.05,5.53223760082679,-0.38613707297586597,-6.524376949047839,supported
33,observed,hist_gradient_boosting,155,300,0,1,medium,high,0.1,6.144674504956766,0.22629983115411,3.823682068589096,supported
33,observed,hist_gradient_boosting,155,300,0,1,medium,high,0.2,7.059327531428352,1.1409528576256953,19.27814510757586,supported
33,observed,hist_gradient_boosting,155,300,0,1,medium,high,0.3,7.065417520669897,1.1470428468672402,19.381044798406542,supported
33,observed,hist_gradient_boosting,155,300,0,1,medium,high,0.4,7.24190043160792,1.323525757805264,22.362993739882242,supported
34,observed,hist_gradient_boosting,481,296,0,1,medium,high,0.0,1.3481258769789561,0.0,0.0,supported
34,observed,hist_gradient_boosting,481,296,0,1,medium,high,0.05,1.3908444384411518,0.04271856146219566,3.168736851036824,supported
34,observed,hist_gradient_boosting,481,296,0,1,medium,high,0.1,1.4191811133825558,0.07105523640359968,5.270667792745654,supported
34,observed,hist_gradient_boosting,481,296,0,1,medium,high,0.2,1.419222002534017,0.07109612555506084,5.2737008293603616,supported
34,observed,hist_gradient_boosting,481,296,0,1,medium,high,0.3,1.45990782080244,0.11178194382348394,8.291654787754577,supported
34,observed,hist_gradient_boosting,481,296,0,1,medium,high,0.4,1.7827789501887907,0.4346530732098346,32.24128255618517,supported
35,observed,hist_gradient_boosting,668,631,0,0,medium,high,0.0,0.7715018935074343,0.0,0.0,supported
35,observed,hist_gradient_boosting,668,631,0,0,medium,high,0.05,0.8859810819992922,0.1144791884918579,14.838484449002177,supported
35,observed,hist_gradient_boosting,668,631,0,0,medium,high,0.1,0.9338794087091107,0.16237751520167643,21.046936704648765,supported
35,observed,hist_gradient_boosting,668,631,0,0,medium,high,0.2,0.9339120952606104,0.1624102017531761,21.051173447523254,supported
35,observed,hist_gradient_boosting,668,631,0,0,medium,high,0.3,0.9601925703716367,0.1886906768642025,24.457577933654704,supported
35,observed,hist_gradient_boosting,668,631,0,0,medium,high,0.4,1.4615671382667488,0.6900652447593145,89.44440066402312,supported
36,observed,hist_gradient_boosting,97,102,0,1,medium,high,0.0,1.9892518284883338,0.0,0.0,supported
36,observed,hist_gradient_boosting,97,102,0,1,medium,high,0.05,2.0480478201696446,0.05879599168131078,2.9556836816377663,supported
36,observed,hist_gradient_boosting,97,102,0,1,medium,high,0.1,2.0972091428804407,0.10795731439210687,5.427031049866904,supported
36,observed,hist_gradient_boosting,97,102,0,1,medium,high,0.2,2.1225089396495234,0.13325711116118955,6.698855783505997,supported
36,observed,hist_gradient_boosting,97,102,0,1,medium,high,0.3,2.1856309486832903,0.1963791201949565,9.872009032872842,supported
36,observed,hist_gradient_boosting,97,102,0,1,medium,high,0.4,2.215225822209922,0.22597399372158833,11.35974794570429,supported
37,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.0,0.779724071857701,0.0,0.0,supported
37,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.05,0.8003215231339613,0.020597451276260337,2.6416333700185257,supported
37,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.1,0.779258977315848,-0.0004650945418529506,-0.05964860630054414,supported
37,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.2,0.7927163786404943,0.012992306782793284,1.6662698064251025,supported
37,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.3,0.8707826277569444,0.09105855589924339,11.678305080705709,supported
37,observed,hist_gradient_boosting,370,127,0,0,medium,high,0.4,1.1504290011798535,0.3707049293221525,47.543091550186986,supported
38,observed,hist_gradient_boosting,57,11,0,1,medium,high,0.0,0.6725702953202772,0.0,0.0,supported
