scenario_id,policy_id,policy_kind,calibration_mode,training_calibration_mode,cross_scenario_policy_evaluation,cross_calibration_policy_evaluation,episode_index,episode_id,shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,normalized_episode_return,normalized_accounting_profit,raw_accounting_profit,revenue,procurement_cost,disposal_cost,physical_waste_units,waste_rate,sell_through_rate,stockout_rate,average_markdown,maximum_markdown,first_markdown_day,terminal_inventory,episode_length,initial_inventory,action_entropy,episode_conservation_error,raw_financial_sum_error,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,action_5_share
core_002,always_10pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,6,core_002__recovered_calibration__episode_06,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.35,0.35,0.5459490741901714,1.4038690479175835,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.10000000000000002,0.1,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
core_002,always_10pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,7,core_002__recovered_calibration__episode_07,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.35,0.3499999999999999,0.5459490741901712,1.4038690479175835,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.10000000000000002,0.1,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
core_002,always_20pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,0,core_002__recovered_calibration__episode_00,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.24999999999999992,0.24999999999999992,0.38996362442155086,1.247883598148963,0.8579199737274122,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0,0.0,1,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
core_002,always_20pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,1,core_002__recovered_calibration__episode_01,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.23049264802361125,0.23049264802361125,0.3595349937032331,1.2192448868846641,0.8579199737274122,0.001789919454018696,0.035798389080373916,0.022949825854574984,0.977050174145425,0.3333333333333333,0.20000000000000004,0.2,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
core_002,always_20pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,2,core_002__recovered_calibration__episode_02,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.24999999999999994,0.24999999999999997,0.3899636244215509,1.247883598148963,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.20000000000000004,0.2,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
core_002,always_20pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,3,core_002__recovered_calibration__episode_03,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.24999999999999994,0.24999999999999997,0.3899636244215509,1.247883598148963,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.20000000000000004,0.2,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
core_002,always_20pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,4,core_002__recovered_calibration__episode_04,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.24999999999999994,0.24999999999999997,0.3899636244215509,1.247883598148963,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.20000000000000004,0.2,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
core_002,always_20pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,5,core_002__recovered_calibration__episode_05,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.25,0.25,0.38996362442155097,1.247883598148963,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.20000000000000004,0.2,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
core_002,always_20pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,6,core_002__recovered_calibration__episode_06,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.24999999999999997,0.25,0.38996362442155097,1.247883598148963,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.20000000000000004,0.2,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
core_002,always_20pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,7,core_002__recovered_calibration__episode_07,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.24999999999999994,0.24999999999999997,0.3899636244215509,1.2478835981489633,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.20000000000000004,0.2,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
