state_id,store_id,product_id,observed_revenue_maximizing_markdown,recovered_revenue_maximizing_markdown,preferred_action_changed,observed_best_illustrative_revenue,recovered_best_illustrative_revenue
80,213,253,0.05,0.05,False,0.3567367355080729,0.37875427168485865
81,20,500,0.4,0.4,False,0.4119760337818357,0.5336094335853557
82,72,146,0.4,0.4,False,0.5128798014314405,0.5680087141286391
83,490,843,0.05,0.0,True,0.6220853359673838,0.892517452651149
84,758,764,0.05,0.05,False,0.5111158900551096,0.54616724318091
85,530,411,0.05,0.05,False,0.6549691545408716,0.646043246119974
86,714,90,0.05,0.0,True,1.2430982692868404,1.884929528367902
87,441,580,0.05,0.1,True,2.4318176987206024,2.0601612124209217
88,231,740,0.05,0.05,False,0.35639615858472157,0.3577765179958324
89,112,686,0.05,0.0,True,0.5308457550139124,0.7891145046366976
90,254,769,0.05,0.05,False,0.9856966120799062,1.0097798590139515
91,314,691,0.0,0.0,False,4.710580508500969,4.812211791563608
92,714,644,0.4,0.0,True,1.237755781445417,1.3390983083723373
93,714,644,0.4,0.0,True,0.9401991723642508,1.280169757844881
94,244,104,0.0,0.0,False,2.321021040374559,2.7876050328745534
95,469,259,0.05,0.0,True,0.669170462679119,0.9863025206055835
96,206,104,0.0,0.0,False,2.645553545164342,2.93833807740846
97,452,240,0.05,0.0,True,1.0586143659562166,0.9954709935657022
98,532,666,0.1,0.1,False,1.1200155798677844,1.3248343633136415
99,843,686,0.4,0.0,True,0.9706148856624237,1.172689399836797
100,484,119,0.05,0.0,True,2.229346800661319,2.5928135359981455
101,244,104,0.0,0.0,False,2.295883628345939,2.6772987341212713
102,132,223,0.0,0.0,False,0.8135473211598192,0.9634232660708164
103,586,138,0.4,0.4,False,0.501150561802248,0.5470330620760248
104,658,93,0.05,0.4,True,0.5055116557526625,0.5333997718134689
105,483,71,0.05,0.1,True,0.3534871182677243,0.29453521391676735
106,147,717,0.05,0.0,True,0.5954644997364015,0.5551151413290287
107,602,425,0.4,0.0,True,0.6163296325015463,0.5951864933883737
108,60,93,0.4,0.0,True,0.45372531172199104,0.6081054533279215
109,530,644,0.05,0.0,True,0.507700567747465,0.6972459442060008
110,598,145,0.4,0.0,True,0.4974997734034685,0.6343521380904498
111,147,717,0.05,0.0,True,0.5914098875948692,0.5389731102901547
112,485,569,0.05,0.0,True,0.6090497200712255,0.7318995134351629
113,20,569,0.05,0.0,True,0.4846847775888834,0.7107636648211828
114,510,793,0.05,0.0,True,0.6651763315225124,0.980117778074332
115,96,500,0.4,0.0,True,0.646100773140079,0.9271887986143348
116,862,320,0.4,0.0,True,0.5304713806299,0.6338199483764324
117,231,212,0.05,0.0,True,0.6090795200414603,0.6407683236678441
118,633,489,0.4,0.0,True,0.49425361444490495,0.5486727740284894
119,147,717,0.05,0.0,True,0.5143747132172967,0.6327661396644155
