shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,policy,mean_profit,mean_waste_rate,mean_sell_through,scenarios
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,expiry_threshold_rule,-3.449475992034222,0.3639902021354533,0.6360097978645468,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,inventory_coverage_rule,-5.396872546195002,0.35733486891303334,0.6426651310869667,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_0pct,-2.6858018492153293,0.4109503518230782,0.5890496481769217,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_10pct,-4.144450602370501,0.38678330067242533,0.6132166993275747,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_20pct,-5.968413643241118,0.3708831624652984,0.6291168375347016,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_40pct,-10.33805218042721,0.3407861550256408,0.6592138449743592,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,expiry_threshold_rule,-4.492914060056357,0.3733453123011597,0.6266546876988403,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,inventory_coverage_rule,-5.953984180306712,0.37131266180336975,0.6286873381966303,1
medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_0pct,1.3794706829896892,0.2524077586949838,0.7475922413050163,1
medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_10pct,0.667512997522271,0.2421982912311055,0.7578017087688945,1
medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_20pct,-0.13172036209200186,0.23833313988381766,0.7616668601161823,1
medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_40pct,-1.5926471724333584,0.2090099101765194,0.7909900898234805,1
medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,expiry_threshold_rule,1.020389298465733,0.24053444856470932,0.7594655514352907,1
medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,inventory_coverage_rule,1.3794706829896892,0.2524077586949838,0.7475922413050163,1
medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_0pct,1.4402223457292311,0.2536731406536928,0.7463268593463073,1
medium_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_10pct,0.6478507458985847,0.24915295653676148,0.7508470434632386,1
