state_id,scenario_id,calibration_mode,source_policy,episode_index,day,prefix_actions,inventory_coverage_state,fraction_expiring_today,fraction_expiring_within_two_days,predicted_baseline_demand,episode_day,episode_period,remaining_inventory_life,shelf_life_class,scenario_inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,ppo_policy_id,ppo_training_calibration_mode,ppo_action,ppo_markdown,oracle_action,oracle_markdown,action_agrees_with_oracle,missed_positive_markdown_opportunity,unnecessary_markdown_action,normalized_profit_regret_vs_oracle
state_0029,core_003,observed_calibration,always_0pct,7,0,,5.411184310913086,0.3333333432674408,0.6666666865348816,0.7354214787483215,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,0,0.0,False,False,True,0.14343130055542364
state_0029,core_003,observed_calibration,always_0pct,7,0,,5.411184310913086,0.3333333432674408,0.6666666865348816,0.7354214787483215,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,0,0.0,False,False,True,0.10384619203169389
state_0030,core_003,observed_calibration,always_20pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,5,0.4,False,False,False,0.2132210369758013
state_0030,core_003,observed_calibration,always_20pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,5,0.4,False,False,False,0.18428516393204109
state_0031,core_003,observed_calibration,always_40pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,5,0.4,False,False,False,0.2132210369758013
state_0031,core_003,observed_calibration,always_40pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,5,0.4,False,False,False,0.18428516393204109
state_0032,core_003,observed_calibration,always_40pct,4,1,5,2.9372096061706543,0.43911439180374146,1.0,0.5430209040641785,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,0,0.0,False,False,True,0.05757106926157929
state_0032,core_003,observed_calibration,always_40pct,4,1,5,2.9372096061706543,0.43911439180374146,1.0,0.5430209040641785,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,2,0.1,0,0.0,False,False,True,0.05757106926157929
state_0033,core_003,observed_calibration,always_40pct,5,2,5|5,0.6056208610534668,1.0,1.0,0.7112001776695251,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,0,0.0,False,False,True,0.030733044770848122
state_0033,core_003,observed_calibration,always_40pct,5,2,5|5,0.6056208610534668,1.0,1.0,0.7112001776695251,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,4,0.3,0,0.0,False,False,True,0.04609956715627221
