state_id,scenario_id,calibration_mode,episode_index,start_day,prefix_actions,reset_seed,deterministic_demand,same_store_product_episode_proxy,same_start_date_proxy,same_scenario,same_calibration_mode,same_initial_inventory_proxy,same_age_profile,same_horizon,same_demand_noise_seed,same_discount_response_model,same_accounting_normalization,action_value_metadata_match,action_values_available_for_all_actions,pairing_status
state_0090,core_006,recovered_calibration,6,1,0,20006,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0091,core_006,recovered_calibration,7,0,,20007,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0092,core_006,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0093,core_006,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0094,core_006,recovered_calibration,5,2,5|5,20005,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0095,core_006,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0096,core_009,observed_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0097,core_009,observed_calibration,0,1,0,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0098,core_009,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0099,core_009,observed_calibration,1,3,0|0|0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0100,core_009,observed_calibration,2,0,,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0101,core_009,observed_calibration,3,3,0|0|0,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0102,core_009,observed_calibration,3,4,0|0|0|0,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0103,core_009,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0104,core_009,observed_calibration,1,2,3|3,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0105,core_009,observed_calibration,2,3,3|3|3,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0106,core_009,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0107,core_009,observed_calibration,2,1,5,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0108,core_009,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0109,core_009,recovered_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0110,core_009,recovered_calibration,0,1,0,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0111,core_009,recovered_calibration,0,2,0|0,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0112,core_009,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0113,core_009,recovered_calibration,1,4,0|0|0|0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0114,core_009,recovered_calibration,3,0,,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0115,core_009,recovered_calibration,4,0,,20004,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0116,core_009,recovered_calibration,5,1,0,20005,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0117,core_009,recovered_calibration,7,1,0,20007,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0118,core_009,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0119,core_009,recovered_calibration,1,3,3|3|3,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0120,core_009,recovered_calibration,2,3,3|3|3,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0121,core_009,recovered_calibration,5,2,3|3,20005,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0122,core_009,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
